S_array_099_s2_A1,S_array_099_s2_B1,S_array_099_s2_C1
21,57,51
25,53,58
22,55,57
22,59,51
21,58,54
21,54,52
22,58,51
22,53,51
21,53,51
23,50,46
22,48,44
21,43,37
22,37,34
22,37,32
24,38,31
24,34,35
21,35,34
22,34,34
22,36,36
22,35,34
22,40,34
22,37,38
25,39,34
22,41,33
25,36,36
26,38,39
25,39,33
24,45,47
26,35,34
23,35,34
23,40,34
25,36,33
21,36,34
25,34,33
21,32,31
23,33,44
27,48,50
21,28,29
17,28,26
24,39,38
22,36,37
21,38,37
25,41,37
23,38,38
23,40,40
25,38,37
22,51,50
23,37,37
23,37,36
22,45,49
22,41,39
23,38,40
21,29,26
20,32,32
20,32,31
20,29,26
16,28,26
16,28,27
17,33,29
17,30,29
20,31,26
19,30,29
20,33,31
19,32,29
